cabell_robinson,cabell_b__robinson,1,0.0,1.0,0.0,0.6666666666666667,0.9533333333333333,1,0.333,1
shaq,shaq_o_neal,1,1.0,1.0,0.0,0.33333333333333337,0.8727272727272728,5,1.0,1
shaquille_oneal,shaq_o_neal,1,0.0,0.9090909090909092,0.0,0.21481480916341145,0.8551515151515151,1,0.25,1
benares,varanasi,1,0.0,0.375,0.0,0.45,0.6071428571428571,1,0.333,1
bombay,mumbai,0,0.0,0.3333333333333333,0.0,0.7833333587646485,0.6666666666666666,2,0.25,1
calcutta,kolkata,1,0.0,0.3125,0.0,0.8375,0.6071428571428571,2,0.667,1
ho_chi_minh_city,saigon,1,0.0,0.25,0.0,0.029166667461395263,0.45138888888888884,2,0.333,1
los_angeles,la,1,0.0,0.6,1.0,0.25,0.7545454545454544,1,0.091,1
los_angeles,l_a_,1,0.0,0.6,0.0,0.1666666603088379,0.7818181818181817,2,0.118,1
ourense,orense,1,0.0,0.9166666666666666,0.0,0.9571428680419922,0.9571428571428572,1,0.5,1
philadelphia,philly,1,0.0,0.5625,0.0,0.35,0.85,2,0.286,1
st_louis,st_louis,0,1.0,1.0,0.0,1.0,1.0,3,0.3,1
istanbul,constantinople,1,0.0,0.3214285714285714,0.0,0.04285714149475098,0.5273809523809524,1,0.25,1
kochi,cochin,1,0.0,0.41666666666666663,0.0,0.8333333587646484,0.7388888888888889,2,0.4,1
kashi,varanasi,1,0.0,0.3125,0.0,0.175,0.5499999999999999,1,0.333,1
jason_williams,jason_williams,0,1.0,1.0,0.0,1.0,1.0,1,0.333,1
bobby_abreu,bobby_abreu,0,1.0,1.0,0.0,1.0,1.0,1,0.25,1
granger,danny_granger,1,1.0,1.0,0.0,0.5,0.6263736263736264,3,0.75,1
james_posey,james_posey,0,1.0,1.0,0.0,1.0,1.0,1,0.5,1
jonathan_vilma,jonathan_vilma,0,1.0,1.0,0.0,1.0,1.0,1,0.5,1
kevin_martin,kevin_martin,0,1.0,1.0,0.0,1.0,1.0,1,0.167,1
manu_ginobili,manu_ginobili,0,1.0,1.0,0.0,1.0,1.0,1,0.5,1
mark_sanchez,mark_sanchez,0,1.0,1.0,0.0,1.0,1.0,1,0.333,1
marquis_daniels,eric_piatkowski,0,0.0,0.26666666666666666,0.0,0.3114285755157471,0.43333333333333335,1,0.333,1
peyton_manning,peyton_manning,0,1.0,1.0,0.0,1.0,1.0,1,0.5,1
david_carr,david_carr,0,1.0,1.0,0.0,1.0,1.0,1,0.2,1
